country_name,year,rate,air_pollution,alcohol_use,gdp_per_capita,uhc_index,obesity_rate,tobacco_use
Slovenia,2013,0.0004751920176096,18.16324478528,10.5,23236.9655321695,78.27272727272727,18.6,23.418181818181814
Slovenia,2014,0.0004649571126149,17.79704248843,10.6,24013.0682060959,78.27272727272727,18.9,23.418181818181814
Slovenia,2015,0.0005012345845135,17.7209260643327,11.0,20697.2748530619,81.0,19.2,21.8
Slovenia,2016,0.0005487858582855,16.4517774590328,10.7,21447.8377796036,78.27272727272727,19.5,23.418181818181814
Slovenia,2017,0.0005210054018714,16.502696435309,10.2,23303.077705959,83.0,19.9,23.418181818181814
South Korea,2000,0.0002215283636132,25.4379884924397,10.4,12257.0206622345,73.0,2.3,35.2
South Korea,2001,0.0002236397270837,25.3445724763114,10.4,11561.2071745115,82.5,2.5,27.23846153846154
South Korea,2002,0.0002291228716453,25.1965130774737,10.2,13165.08362497,82.5,2.6,27.23846153846154
South Korea,2003,0.0002309169887997,24.9988034168125,9.5,14672.8057539465,82.5,2.7,27.23846153846154
South Korea,2004,0.0002469229328509,24.756436615214,9.3,16496.1316167114,82.5,2.8,27.23846153846154
South Korea,2005,0.000254401780764,24.4744057935641,9.0,19402.5026259549,77.0,3.0,30.9
South Korea,2006,0.000263291732057,23.9837806396341,9.0,21743.4774514254,82.5,3.1,27.23846153846154
South Korea,2007,0.0002674242490979,23.2554477166084,9.1,24086.4104391677,82.5,3.3,29.4
South Korea,2008,0.0002784913313197,22.504125458493,9.1,21350.427979823,82.5,3.4,27.23846153846154
South Korea,2009,0.0002869176343593,21.9445322992938,9.1,19143.8516053025,82.5,3.6,27.23846153846154
South Korea,2010,0.000302378204579,21.7913866730167,8.9,23079.2601257735,82.0,3.7,27.0
South Korea,2011,0.0003079833919582,24.8830450375162,8.9,25097.595426845,82.5,3.9,27.23846153846154
South Korea,2012,0.0003049394403817,25.5767916080653,8.9,25459.1689000965,82.5,4.1,27.23846153846154
South Korea,2013,0.0003189093638421,27.4929658439861,8.6,27179.5170146052,82.5,4.3,27.23846153846154
South Korea,2014,0.0003249166325162,28.3760075385872,8.4,29252.9312377352,82.5,4.5,27.23846153846154
South Korea,2015,0.0003161915756202,26.2899620146574,8.1,28737.4391706499,86.0,4.7,23.8
